Epoch,train_acc,train_loss,val_acc,test_acc,test_loss,val_loss
149,0.9423,0.2070,0.9505,0.9456,0.2220,0.1835
150,0.9515,0.2028,0.9524,0.9532,0.2012,0.1835
151,0.9505,0.1969,0.9524,0.9514,0.1841,0.1782
152,0.9505,0.1860,0.9524,0.9509,0.2032,0.1760
153,0.9496,0.1954,0.9524,0.9509,0.1831,0.1742
154,0.9478,0.1893,0.9524,0.9503,0.2133,0.1745
155,0.9478,0.2081,0.9524,0.9477,0.3102,0.1738
156,0.9478,0.2608,0.9524,0.9475,0.3111,0.1905
157,0.9432,0.2082,0.9524,0.9462,0.1811,0.1796
158,0.9487,0.1898,0.9524,0.9506,0.1833,0.1770
159,0.9487,0.1861,0.9524,0.9509,0.2036,0.1763
160,0.9515,0.1970,0.9524,0.9535,0.1924,0.1788
161,0.9515,0.1902,0.9524,0.9522,0.1822,0.1763
162,0.9496,0.1859,0.9524,0.9506,0.2105,0.1782
163,0.9515,0.1935,0.9524,0.9532,0.1997,0.1786
164,0.9515,0.1912,0.9524,0.9540,0.1855,0.1812
165,0.9515,0.1871,0.9524,0.9527,0.2205,0.1773
166,0.9515,0.2064,0.9524,0.9527,0.3378,0.1816
167,0.9515,0.2492,0.9524,0.9540,0.2146,0.1836
168,0.9515,0.2090,0.9524,0.9530,0.1901,0.1797
169,0.9496,0.1950,0.9524,0.9509,0.2081,0.1745
170,0.9414,0.1937,0.9505,0.9425,0.1947,0.1821
171,0.9505,0.1859,0.9524,0.9524,0.1937,0.1776
172,0.9515,0.1869,0.9524,0.9540,0.2152,0.1866
173,0.9478,0.2025,0.9524,0.9469,0.1982,0.1728
174,0.9478,0.2031,0.9524,0.9469,0.1958,0.1731
175,0.9441,0.2039,0.9505,0.9459,0.2058,0.1732
176,0.9423,0.2036,0.9505,0.9449,0.1842,0.1759
177,0.9496,0.1914,0.9524,0.9493,0.1840,0.1755
178,0.9515,0.1849,0.9524,0.9524,0.1834,0.1764
179,0.9496,0.1895,0.9524,0.9493,0.2306,0.1750
180,0.9423,0.2110,0.9505,0.9425,0.2015,0.1758
181,0.9478,0.2113,0.9524,0.9475,0.1919,0.1746
182,0.9460,0.2003,0.9524,0.9469,0.1832,0.1751
183,0.9496,0.1864,0.9524,0.9509,0.1823,0.1749
184,0.9487,0.1873,0.9524,0.9506,0.2138,0.1747
185,0.9478,0.2037,0.9524,0.9472,0.2342,0.1742
186,0.9332,0.2392,0.9487,0.9375,0.2116,0.1783
187,0.9469,0.2138,0.9524,0.9475,0.1808,0.1769
188,0.9496,0.1833,0.9524,0.9493,0.2001,0.1773
189,0.9515,0.1905,0.9524,0.9540,0.1821,0.1839
190,0.9496,0.1856,0.9524,0.9488,0.1846,0.1760
191,0.9496,0.1872,0.9524,0.9503,0.2452,0.1811
192,0.9524,0.2109,0.9524,0.9543,0.1975,0.1846
193,0.9515,0.1922,0.9524,0.9537,0.1832,0.1824
194,0.9478,0.1847,0.9524,0.9475,0.1916,0.1783
195,0.9515,0.1875,0.9524,0.9524,0.1854,0.1767
196,0.9515,0.1868,0.9524,0.9524,0.1916,0.1760
197,0.9515,0.1877,0.9524,0.9524,0.2095,0.1763
198,0.9496,0.2031,0.9524,0.9493,0.4761,0.2007
199,0.9515,0.2879,0.9524,0.9535,0.2617,0.2141
200,0.9505,0.2023,0.9524,0.9524,0.1889,0.1786
