Epoch,train_acc,train_loss,val_acc,test_acc,test_loss,val_loss
130,0.9839,0.2461,0.7419,0.7602,0.5115,0.5505
131,0.9839,0.2553,0.7419,0.7602,0.5253,0.5104
132,0.9677,0.2504,0.7419,0.7602,0.5138,0.5637
133,0.9839,0.2343,0.7419,0.7692,0.5109,0.5110
134,0.9839,0.2206,0.7419,0.7738,0.5203,0.5383
135,0.9839,0.2208,0.7097,0.7738,0.5100,0.5280
136,0.9839,0.2244,0.7419,0.7738,0.5161,0.5183
137,0.9839,0.2237,0.7419,0.7738,0.5130,0.5381
138,0.9839,0.2207,0.7419,0.7738,0.5117,0.5186
139,0.9839,0.2184,0.7419,0.7738,0.5155,0.5291
140,0.9839,0.2181,0.7419,0.7783,0.5114,0.5267
141,0.9839,0.2184,0.7097,0.7738,0.5143,0.5216
142,0.9839,0.2174,0.7419,0.7738,0.5128,0.5304
143,0.9839,0.2165,0.7097,0.7738,0.5129,0.5220
144,0.9839,0.2153,0.7419,0.7783,0.5137,0.5280
145,0.9839,0.2147,0.7419,0.7828,0.5123,0.5251
146,0.9839,0.2142,0.7419,0.7828,0.5135,0.5251
147,0.9839,0.2136,0.7419,0.7783,0.5120,0.5268
148,0.9839,0.2133,0.7419,0.7783,0.5136,0.5242
149,0.9839,0.2127,0.7419,0.7783,0.5120,0.5279
150,0.9839,0.2125,0.7419,0.7783,0.5139,0.5240
151,0.9839,0.2119,0.7419,0.7783,0.5118,0.5289
152,0.9839,0.2118,0.7419,0.7738,0.5141,0.5239
153,0.9839,0.2113,0.7419,0.7783,0.5115,0.5298
154,0.9839,0.2113,0.7097,0.7738,0.5149,0.5240
155,0.9839,0.2112,0.7419,0.7783,0.5109,0.5313
156,0.9839,0.2118,0.7097,0.7738,0.5180,0.5242
157,0.9839,0.2139,0.7742,0.7738,0.5095,0.5344
158,0.9839,0.2190,0.7419,0.7828,0.5249,0.5208
159,0.9839,0.2273,0.7419,0.7738,0.5100,0.5450
160,0.9839,0.2404,0.7742,0.7783,0.5297,0.5146
161,0.9677,0.2482,0.7097,0.7647,0.5115,0.5636
162,0.9677,0.2457,0.7419,0.7557,0.5166,0.5115
163,0.9839,0.2270,0.7419,0.7647,0.5169,0.5592
164,0.9839,0.2136,0.7419,0.7828,0.5081,0.5186
165,0.9839,0.2136,0.7419,0.7783,0.5179,0.5264
166,0.9839,0.2168,0.7419,0.7738,0.5106,0.5382
167,0.9839,0.2164,0.7419,0.7783,0.5127,0.5194
168,0.9839,0.2135,0.7419,0.7738,0.5138,0.5363
169,0.9839,0.2119,0.7097,0.7783,0.5107,0.5243
170,0.9839,0.2116,0.7419,0.7783,0.5143,0.5265
171,0.9839,0.2115,0.7419,0.7783,0.5116,0.5308
172,0.9839,0.2112,0.7419,0.7738,0.5129,0.5238
173,0.9839,0.2101,0.7419,0.7783,0.5127,0.5309
174,0.9839,0.2095,0.7419,0.7783,0.5120,0.5259
175,0.9839,0.2089,0.7419,0.7738,0.5129,0.5285
176,0.9839,0.2085,0.7419,0.7738,0.5117,0.5282
177,0.9839,0.2082,0.7419,0.7783,0.5128,0.5270
178,0.9839,0.2078,0.7419,0.7783,0.5120,0.5292
179,0.9839,0.2075,0.7419,0.7783,0.5129,0.5269
180,0.9839,0.2071,0.7419,0.7783,0.5120,0.5295
181,0.9839,0.2069,0.7419,0.7783,0.5130,0.5272
