Epoch,train_acc,train_loss,val_acc,test_acc,test_loss,val_loss
187,1.0000,0.0327,0.8710,0.8281,0.4791,0.4738
188,1.0000,0.0327,0.8710,0.8235,0.4772,0.4749
189,1.0000,0.0327,0.8710,0.8281,0.4802,0.4735
190,1.0000,0.0326,0.8710,0.8235,0.4762,0.4762
191,1.0000,0.0327,0.8710,0.8281,0.4824,0.4728
192,1.0000,0.0328,0.8710,0.8235,0.4743,0.4783
193,1.0000,0.0333,0.8710,0.8281,0.4871,0.4711
194,1.0000,0.0340,0.8710,0.8190,0.4709,0.4823
195,1.0000,0.0359,0.8710,0.8235,0.4967,0.4672
196,1.0000,0.0388,0.8387,0.8190,0.4676,0.4905
197,1.0000,0.0446,0.8710,0.8326,0.5097,0.4602
198,1.0000,0.0501,0.8065,0.8190,0.4687,0.5096
199,1.0000,0.0542,0.8710,0.8281,0.5005,0.4557
200,1.0000,0.0453,0.7742,0.8054,0.4952,0.5364
