train_loss,val_loss,val_acc,val_f1
0.095542607,0.119457844,96.1538462,96.2432916
0.094373606,0.115962145,96.8864469,96.9804618
0.091689067,0.135021741,96.8864469,97.0123023
0.106549827,0.160046277,95.7875458,96
0.104330601,0.117299947,97.0695971,97.1631206
0.091931283,0.129946038,96.8864469,97.0017637
0.096906686,0.116745301,96.5201465,96.6131907
0.097071959,0.121067699,95.970696,96.0573477
0.093887621,0.121475329,95.4212454,95.4954955
0.101547889,0.117802515,96.3369963,96.4285714
0.095705629,0.127313477,95.4212454,95.4792043
0.101063138,0.119797681,95.6043956,95.6834532
0.097870491,0.11552679,97.0695971,97.1631206
0.103073106,0.123399155,96.8864469,96.9911504
0.095649359,0.136127284,96.8864469,97.0123023
0.092849646,0.126134636,96.8864469,96.9911504
0.095205314,0.130263656,96.8864469,97.0017637
0.097765929,0.118278648,96.1538462,96.2432916
0.098278864,0.115647442,96.8864469,96.9804618
0.090224515,0.11922109,97.0695971,97.1631206
0.094111168,0.122654073,95.4212454,95.4954955
0.098825951,0.121358026,95.4212454,95.4954955
0.095124,0.117677182,96.7032967,96.797153
0.100535082,0.126390624,96.8864469,96.9911504
0.094694725,0.118646433,97.0695971,97.1631206
0.091202448,0.119066022,95.7875458,95.8707361
0.092054546,0.128997418,95.4212454,95.4792043
0.095593329,0.116748437,96.7032967,96.797153
0.091314978,0.118863104,96.3369963,96.4285714
0.096663035,0.115371083,96.8864469,96.9804618
0.103028567,0.167457116,95.6043956,95.8333333
0.129584703,0.118908769,96.5201465,96.6131907
0.119866782,0.120459759,96.5201465,96.6131907
0.100104326,0.117349687,96.5201465,96.6131907
0.092301226,0.115587776,96.8864469,96.9804618
0.092384743,0.120202253,95.970696,96.0573477
0.090096114,0.124380453,95.4212454,95.4954955
0.092584723,0.143242042,95.2380952,95.2898551
0.107813459,0.117038053,97.0695971,97.1631206
0.098203359,0.119200889,97.0695971,97.1631206
0.094600441,0.117586328,96.5201465,96.6131907
0.096356623,0.120295106,95.4212454,95.4954955
0.090465378,0.116742256,97.0695971,97.1631206
0.104321207,0.136461439,95.2380952,95.2898551
0.100592214,0.118191653,97.0695971,97.1631206
0.09682753,0.126486674,96.8864469,96.9911504
0.102403995,0.117258009,96.8864469,96.9804618
0.09764948,0.126611282,97.0695971,97.1731449
0.096946053,0.132460057,97.2527473,97.3544974
0.094989544,0.12347291,96.8864469,96.9911504
0.093100669,0.131778517,97.2527473,97.3544974
0.09376721,0.123718899,96.8864469,96.9911504
0.096725675,0.115933515,96.8864469,96.9804618
0.091352351,0.115489843,96.8864469,96.9804618
0.091449235,0.116774404,96.5201465,96.6131907
0.091003918,0.11578398,96.8864469,96.9804618
0.096486229,0.14600913,96.3369963,96.5034965
0.106256171,0.125622159,96.8864469,96.9911504
0.094197993,0.124197652,96.8864469,96.9911504
0.095263907,0.118533474,97.0695971,97.1631206
0.09061855,0.119868752,97.0695971,97.1631206
0.090914056,0.11775492,96.3369963,96.4285714
0.090448247,0.121111512,97.0695971,97.1631206
0.094519782,0.115167134,96.8864469,96.9804618
0.090533429,0.118010312,96.5201465,96.6131907
0.094698067,0.145883424,96.3369963,96.5034965
0.099198187,0.120072656,97.0695971,97.1631206
0.10186154,0.123295587,95.4212454,95.4954955
0.099992916,0.121627219,95.4212454,95.4954955
0.09630642,0.136179715,96.8864469,97.0123023
0.107581577,0.170965738,95.4212454,95.6672444
0.108764296,0.162289008,95.7875458,96
0.099262503,0.116717742,96.8864469,96.9804618
0.08906682,0.120246348,95.4212454,95.4954955
0.091464998,0.116969015,96.5201465,96.6131907
0.092112558,0.117041123,96.5201465,96.6131907
0.089988308,0.117090791,97.0695971,97.1631206
0.090719219,0.116810773,96.7032967,96.797153
0.096712067,0.1521739,96.3369963,96.5034965
0.106302069,0.115325803,96.8864469,96.9804618
0.097681909,0.120175035,95.4212454,95.4954955
0.091423627,0.116582985,96.8864469,96.9804618
0.090149332,0.115932369,96.7032967,96.797153
0.089672244,0.129368913,95.4212454,95.4792043
0.093968852,0.11522699,96.7032967,96.797153
0.092865541,0.114977404,96.8864469,96.9804618
0.090981009,0.123923935,95.4212454,95.4954955
0.097355572,0.119121725,97.0695971,97.1631206
0.091179755,0.134300746,96.8864469,97.0123023
0.102961416,0.143091408,96.5201465,96.6725044
0.105396925,0.124342014,96.8864469,96.9911504
0.096362156,0.116172235,96.8864469,96.9804618
0.089109991,0.116518344,96.8864469,96.9804618
0.092775817,0.11863922,96.3369963,96.4285714
0.090779549,0.117056705,97.0695971,97.1631206
0.090361441,0.128598696,95.2380952,95.3068592
0.096899205,0.129018817,95.4212454,95.4792043
0.094469678,0.115145044,96.8864469,96.9804618
0.097966442,0.125158451,96.8864469,96.9911504
0.095456524,0.131293156,96.8864469,96.9911504
0.098948973,0.123157904,96.8864469,96.9911504
0.098313624,0.128044917,95.4212454,95.4792043
